Time,Detected Intent,Original Transcription,Final Response,Log Count
"2026-01-13 01:14:12","unknown","کارڈ مینجمنٹ","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c250dca6-3e9f-4f0b-9c2c-078758f8c727.wav'}","19"
"2026-01-13 01:14:12","send_money","Send 5000 rupees to Nadir Khan.","{'id': '111911964', 'type': 'send_money', 'amount': 5000.0, 'detected_language': 'english', 'name': 'NADIR KHAN', 'bankName': 'Easypaisa', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'b7f2d818-8e52-4dc3-8754-29eb7cd22c14.wav'}","23"
"2026-01-13 01:02:56","send_money","Send one rupee to Saqib Afzal.","{'id': '111537551', 'type': 'send_money', 'amount': 1.0, 'detected_language': 'english', 'name': 'M SAQIB AFZAL', 'bankName': 'HBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '68990d55-5616-4ab0-b22b-9b1aaa18291f.wav'}","23"
"2026-01-13 01:02:46","unknown","Can you transfer some money?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'aacff888-9443-4098-9149-06ebbc8b4c34.wav'}","17"
"2026-01-13 01:02:36","download_statement","ڈیبٹ کارڈ کی اے ٹی ایم ٹرانزیکشنز آف کر دو۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': '3ab0cf80-67ae-4416-a902-c7b07d7f1fb4.wav'}","21"
"2026-01-13 01:02:34","unknown","سرج دا اکاؤنٹ ساقب بفضل","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '70661ad2-f1c6-44a0-83ba-961c75238364.wav'}","19"
"2026-01-13 01:02:19","send_money","حسن حارث بٹ کے اکاؤنٹ میں سو روپے ٹرانسفر","{'id': '26469030', 'type': 'send_money', 'amount': 100.0, 'detected_language': 'urdu', 'name': 'HASSAN KHALID BUTT', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'b067789a-2d09-4cfa-8882-241ff9f1e0d0.wav'}","25"
"2026-01-13 01:01:54","send_money","محمد ازلان نوید کے ایزی پیسہ اکاؤنٹ میں سو روپے ٹرانسفر","{'id': '48924191', 'type': 'send_money', 'amount': 100.0, 'detected_language': 'urdu', 'name': 'MUHAMMAD AZLAAN NAVEED CHEEMA', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '2bf1e6b1-e46a-4491-8247-0aaa9a83c420.wav'}","25"
"2026-01-13 01:01:36","send_money","دو سو روپے ٹرانسفر","{'id': '', 'type': 'send_money', 'amount': 200.0, 'detected_language': 'urdu', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '8dc6f57e-55ce-4de0-853e-913c1379c655.wav'}","24"
"2026-01-13 01:01:26","pay_bill","میرا ڈیبٹ کارڈ ڈس ایبل کر دو","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': 'ef91da45-5b35-4d5b-9ec8-af0840ef3c66.wav'}","21"
"2026-01-13 01:00:54","unknown","Deactivate debit card.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '3e0f1a80-d313-4d14-ae68-1d9640a514ad.wav'}","17"
"2026-01-13 01:00:46","unknown","Deactivate ATM card.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '7f6524af-6cd1-41eb-9a82-bb8d99fb439e.wav'}","17"
"2026-01-13 01:00:35","unknown","Disable the ATM card.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '7e96d139-f091-4bb2-bd1b-bdfaaddba8ff.wav'}","17"
"2026-01-13 00:59:52","unknown","King distributor","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'af430a93-531b-4e3f-ab56-0b923da9ea03.wav'}","17"
"2026-01-13 00:56:36","unknown","ہو منچوان ڈالر ان پاکستان۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '16fbabf5-1ec4-4c3d-abfa-59de2dccb50a.wav'}","19"
"2026-01-13 00:49:09","send_money","Send one thousand rupees to Faizal Yarif.","{'id': '', 'type': 'send_money', 'amount': 1000.0, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '94902699-3281-4c68-aea7-a346fec57f02.wav'}","22"
"2026-01-13 00:48:39","send_money","فہد علی عارف کو ایک ہزار روپے بھیجو۔","{'id': '209783480', 'type': 'send_money', 'amount': 1000.0, 'detected_language': 'urdu', 'name': 'FAHAD ALI ARIF', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '1b657a97-174c-4ce9-b567-e9a9db534424.wav'}","25"
"2026-01-13 00:47:37","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e50d632a-4264-452d-b6ac-9e0b641de6fb.wav'}","19"
"2026-01-13 00:46:21","send_money","Send Safiullah twenty rupees.","{'id': '155852493', 'type': 'send_money', 'amount': 20.0, 'detected_language': 'english', 'name': 'SAFIULLAH', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '967a4a7c-8fed-4962-ad89-55fcf896561a.wav'}","23"
"2026-01-13 00:46:18","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '620025a0-530c-475a-8e75-4207666abb1d.wav'}","19"
"2026-01-13 00:46:07","unknown","Send Safi.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'cc8cdeea-3035-4eeb-81a8-78c6f5656e56.wav'}","17"
"2026-01-13 00:45:38","send_money","ٹرانسفر ٹین تھاؤزنڈ ٹو وجیہہ عالمگیر","{'id': '155152676', 'type': 'send_money', 'amount': 10000, 'detected_language': 'english', 'name': 'WAJEEHA ALAMGIR', 'bankName': 'MCIB', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'a0e42f49-ce60-4beb-9009-392e98b69f71.wav'}","25"
"2026-01-13 00:45:16","send_money","Transfer one ten thousand to Wajid Alamgir.","{'id': '155152676', 'type': 'send_money', 'amount': 11000.0, 'detected_language': 'english', 'name': 'WAJEEHA ALAMGIR', 'bankName': 'MCIB', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'e03af5b8-0fbf-4a12-a599-745c55545f28.wav'}","23"
"2026-01-13 00:43:19","unknown","ڈیٹیل ٹرانزیکشن","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '89effbd7-0cb1-4b6c-9afb-85d7541c41fb.wav'}","19"
"2026-01-13 00:41:40","mobile_topup","شو می اکاؤنٹ بیلنس۔","{'type': 'mobile_topup', 'id': '', 'amount': 0, 'detected_language': 'english', 'name': '', 'bankName': '', 'mobileNumber': '', 'billType': '', 'billName': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'd684ba60-092f-4cbf-a3d9-e98147ea8ad3.wav'}","24"
"2026-01-13 00:34:44","send_money","Transfer ten rupees to Ifham IAA.","{'id': '93242838', 'type': 'send_money', 'amount': 10.0, 'detected_language': 'english', 'name': 'IFHAM IAA', 'bankName': 'HBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '19551a1d-e1f3-415e-8ab3-3915546fce69.wav'}","23"
"2026-01-13 00:34:27","send_money","سینٹرنڈ روپیز ٹو فارم آئی اے۔","{'id': '', 'type': 'send_money', 'amount': 2, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '23541576-25ab-40d8-98c0-bf5c0e93bb12.wav'}","24"
"2026-01-13 00:30:40","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c87837c7-f2d9-4699-8a1a-2803bafa563e.wav'}","19"
"2026-01-13 00:30:24","download_statement","Please provide bank statement from 1st July 2025 till date.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '1eeb33c5-b6a4-48f7-a426-784a44088432.wav'}","18"
"2026-01-13 00:26:24","send_money","Send 300 rupees to account Muhammad Hassan, name title is Muhammad Hassan, and the bank is NayaPay.","{'id': '41356014', 'type': 'send_money', 'amount': 300.0, 'detected_language': 'english', 'name': 'MUHAMMAD HASSAN', 'bankName': 'NAYAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '7f082cbe-4f33-432d-88d0-16ed57414a7e.wav'}","23"
"2026-01-13 00:26:01","send_money","سینٹو محمد حمزہ میزان بینک","{'id': '124798153', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'MUHAMMAD HAMZA', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'a557ad7a-d56c-4684-a31d-9e3a0e41976d.wav'}","26"
"2026-01-13 00:25:59","send_money","Send 300 rupees to Muhammad.","{'id': '83070378', 'type': 'send_money', 'amount': 300.0, 'detected_language': 'english', 'name': 'MUHAMMAD AHMED', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'ee794f56-61c2-415e-b018-94104941b7e4.wav'}","23"
"2026-01-13 00:23:38","unknown","بیلنس چیک","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '564579ff-f7a3-472a-a9c5-2f9c8d5e8808.wav'}","19"
"2026-01-13 00:13:51","unknown","ہیلو یو بی ایل بینک کیسے ہو؟","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': 'aa3c1bcc-27ce-4c7a-8434-5659301d3acf.wav'}","19"
"2026-01-13 00:11:11","download_statement","ہیئر شامی، اکاؤنٹ آف خالد محمود صدیقی، یو بی ایل","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '3ab7ed95-a434-4651-8a72-41b0b0f81b86.wav'}","21"
"2026-01-13 00:09:51","mobile_topup","ہائے دیرسنٹ 380 روپے تو دھیانز دی کی نمبر 03220291917۔","{'id': '126564622', 'type': 'mobile_topup', 'amount': 380.0, 'detected_language': 'urdu', 'name': 'DayanSiddiqui operator Jazz - TOPUP', 'bankName': '', 'mobileNumber': '03220291917', 'billType': '', 'billName': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '9efb26e6-0ff0-4158-bb47-d307cbec3d31.wav'}","24"
"2026-01-13 00:08:48","send_money","Send Muhammad Imad name EasyPaisa, ten thousand rupees.","{'id': '107493144', 'type': 'send_money', 'amount': 10000.0, 'detected_language': 'english', 'name': 'MUHAMMAD IMAD NAEEM', 'bankName': 'Easypaisa', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '8b270555-54cf-43ca-8a1f-3ab8e9cde8b8.wav'}","23"
"2026-01-13 00:08:26","send_money","سن محمد نعیم 1000 روپے","{'id': '94515153', 'type': 'send_money', 'amount': 1000.0, 'detected_language': 'urdu', 'name': 'MOHAMMAD NAEEM', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '86962366-a744-4cbf-b181-9ae6c8a92136.wav'}","25"
"2026-01-13 00:08:02","send_money","سینٹ حمید الرحمن ٹین روپیز","{'id': '', 'type': 'send_money', 'amount': 10, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '5eb6f438-ed1d-44a0-ab5e-7284657596e5.wav'}","24"
"2026-01-13 00:05:34","unknown","اوپ۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '043d3c9d-51c4-41b7-9598-79d075ab8134.wav'}","19"
"2026-01-13 00:03:47","unknown","السلام علیکم، کیا کر رہے ہو؟","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': 'ca3f55f1-24f9-4def-bba6-c7c7b3ccd050.wav'}","19"
"2026-01-13 00:02:37","unknown","آہ، کیا ہے؟","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': '614e5a85-9ae9-4658-ae2d-00fe4f9dad32.wav'}","19"
"2026-01-13 00:00:16","send_money","Send five hundred to Abdullah Awan.","{'id': '173419780', 'type': 'send_money', 'amount': 500.0, 'detected_language': 'english', 'name': 'MOHAMMAD ABDULLAH AWAN', 'bankName': 'NAYAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'cfee8855-3613-4a2c-be6f-717857586843.wav'}","23"
"2026-01-12 23:54:33","unknown","بہت۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '02ece60e-6034-46a0-a1ef-ac96d2635537.wav'}","19"
"2026-01-12 23:53:08","send_money","Send money to Muhammad al-Ramzan.","{'id': '20745676', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'Muhammad Owais Zahid', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'b243df34-9ab2-4fdb-9a80-fb599c443830.wav'}","24"
"2026-01-12 23:52:50","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'ff1c1c59-31e0-4f95-a760-fe90699240d0.wav'}","19"
"2026-01-12 23:49:06","send_money","وان ہزار ٹرانسفر کر دو","{'id': '', 'type': 'send_money', 'amount': 11000, 'detected_language': 'urdu', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '0f23cda1-3c37-4ab0-b86c-256445f1cc59.wav'}","25"
"2026-01-12 23:47:55","send_money","سنڈ ون تھاؤزن ٹو فہر","{'id': '', 'type': 'send_money', 'amount': 12000, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '18b3ef7d-14b9-4a0c-80d2-c85aa99328aa.wav'}","25"
"2026-01-12 23:47:32","send_money","Send one thousand to Farhan.","{'id': '46841926', 'type': 'send_money', 'amount': 1000.0, 'detected_language': 'english', 'name': 'ABDUL KHALIQ', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'b5f7b4a9-280a-49a2-b808-4a21091772e3.wav'}","23"
"2026-01-12 23:47:16","unknown","Send one thousand Sultan.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '7ee479c1-de26-4d92-ac2a-295b051ab95d.wav'}","17"
"2026-01-12 23:46:28","unknown","Hello. Send money.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '22ff492c-b472-4ca0-b471-e770db722a1b.wav'}","17"
"2026-01-12 23:42:21","send_money","Transfer ten rupees to Sundas JazzCash.","{'id': '120066012', 'type': 'send_money', 'amount': 10.0, 'detected_language': 'english', 'name': 'SUNDAS', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'ba694f22-bd52-49ad-bc14-abc38b49d7b7.wav'}","23"
"2026-01-12 23:42:00","send_money","Transfer one rupees to Muhammad Akram JazzCash.","{'id': '90006031', 'type': 'send_money', 'amount': 1.0, 'detected_language': 'english', 'name': 'MUHAMMAD AKRAM', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'd960ad93-c6cf-4351-96be-a203539b6fea.wav'}","23"
"2026-01-12 23:40:40","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '789f13b7-c1a0-4029-b632-7e2ef1df7d5a.wav'}","19"
"2026-01-12 23:40:17","download_statement","حراون سٹیٹمنٹ","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '1270ad57-8d70-49b7-872c-d4b9f6c70397.wav'}","20"
"2026-01-12 23:40:16","pay_bill","Hey go to bill my section and pay my office bill.","{'id': '9050124293', 'type': 'pay_bill', 'amount': 0, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': 'PTCL', 'billName': 'Office PTCL', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '86b2da1a-a1e6-4252-be67-58c4170f9ac0.wav'}","21"
"2026-01-12 23:40:03","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c43c1bbc-5588-4e05-9405-5afa16841071.wav'}","19"
"2026-01-12 23:39:34","unknown","سرچ محمد حسن راست آئی ڈی","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '9a805366-6181-4e42-bb78-487af9a103b8.wav'}","19"
"2026-01-12 23:39:19","unknown","سرچ محمد حسن راست آئی ڈی","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '9db1de66-e11f-445d-8bf0-c6a65eaf32ac.wav'}","19"
"2026-01-12 23:28:58","send_money","Please transfer one lakh fifty thousand to Hina.","{'id': '13158680', 'type': 'send_money', 'amount': 150000.0, 'detected_language': 'english', 'name': 'Hina Taimoor', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '27b2b122-2655-45f5-b524-65fd35e7e74c.wav'}","23"
"2026-01-12 23:27:35","download_statement","Account statement of my account of today's transaction.","{'statement_period_month': 'January', 'statement_period_year': '2026', 'type': 'download_statement', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'detected_language': 'english', 'file_id': 'bf115486-ee3a-49ad-8db1-5f6c64ad4008.wav'}","20"
"2026-01-12 23:26:29","download_statement","ٹرانزیکشن ہسٹری","","15"
"2026-01-12 23:26:21","unknown","ایزی پیسہ","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '21c1e2a0-f3ac-4705-a9dd-df12f5916127.wav'}","19"
"2026-01-12 23:26:09","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '37c92ab5-2660-41b9-a7e5-394f67615417.wav'}","19"
"2026-01-12 23:25:22","unknown","جدہ کمپیوٹر","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '58e274ce-12f0-4b1f-b822-6dc36fbc8866.wav'}","19"
"2026-01-12 23:24:54","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'fb3500f2-088f-480b-9314-9ba2c75fb4fd.wav'}","19"
"2026-01-12 23:24:45","","","","5"
"2026-01-12 23:24:30","mobile_topup","شو بیلنس","{'type': 'mobile_topup', 'id': '', 'amount': 0, 'detected_language': 'english', 'name': '', 'bankName': '', 'mobileNumber': '', 'billType': '', 'billName': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'f24c176d-85f4-4dd3-b0dd-d63f3250d1ff.wav'}","24"
"2026-01-12 23:23:22","unknown","Hello.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'eaa1ef98-0ec7-4591-86a6-5f08686aba09.wav'}","17"
"2026-01-12 23:12:20","send_money","نواز احمد رشید کو پچاس روپے بھیجو یو بی ایل اکاؤنٹ میں۔","{'id': '213413371', 'type': 'send_money', 'amount': 50.0, 'detected_language': 'urdu', 'name': 'NOUMAN AHMAD RASHEED', 'bankName': 'SADAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '56c4fe17-fbaa-4a69-9fa7-a753644f0f2b.wav'}","25"
"2026-01-12 23:12:10","unknown","طاہر","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c88d461c-d5f2-44a5-9dd9-41858b8f2591.wav'}","19"
"2026-01-12 23:12:07","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c2cfc7c0-1286-47c7-b697-dd5bd82fd9ab.wav'}","19"
"2026-01-12 23:12:00","unknown","ادباد احمد رشید کے","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '188df4c0-afb5-44c2-9201-7d8b99649cac.wav'}","19"
"2026-01-12 23:11:54","unknown","کاشف","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e0725f41-6c87-40fa-9be2-c0a58218ed56.wav'}","19"
